,Rank,"Player (yrs, age)",Sit. Wins Saved (WPA/LI),Throws
0,1.,"Clayton Kershaw (13, 32)",45.56,L
1,2.,"Justin Verlander (16, 37)",36.69,R
2,3.,"Zack Greinke (17, 36)",30.76,R
3,4.,"Max Scherzer (13, 35)",26.37,R
4,5.,"Chris Sale (10, 31)",25.04,L
5,6.,"David Price (12, 34)",22.11,L
6,7.,"Felix Hernandez (15, 34)",20.81,R
7,8.,"Cole Hamels (15, 36)",20.30,L
8,9.,"Jacob deGrom (7, 32)",19.76,R
9,10.,"Corey Kluber (10, 34)",18.46,R
10,11.,"Adam Wainwright (15, 38)",17.83,R
11,12.,"Stephen Strasburg (11, 31)",16.95,R
12,13.,"Jon Lester (15, 36)",16.56,L
13,14.,"Kyle Hendricks (7, 30)",14.51,R
14,15.,"Madison Bumgarner (12, 30)",14.16,L
15,16.,"Gerrit Cole (8, 29)",13.58,R
16,17.,"Johnny Cueto (13, 34)",13.39,R
17,18.,"Kenley Jansen (11, 32)",12.91,R
18,19.,"Aroldis Chapman (11, 32)",11.78,L
19,20.,"Craig Kimbrel (11, 32)",11.77,R
20,21.,"David Robertson (12, 35)",11.25,R
21,22.,"Sergio Romo (13, 37)",10.69,R
22,23.,"Dallas Keuchel (9, 32)",10.49,L
23,24.,"Joakim Soria (13, 36)",10.01,R
24,25.,"Mark Melancon (12, 35)",9.80,R
25,26.,"Gio Gonzalez (13, 34)",9.42,L
26,27.,"Yu Darvish (8, 33)",9.35,R
27,28.,"Darren O'Day (13, 37)",8.92,R
28,29.,"Carlos Carrasco (11, 33)",8.65,R
29,30.,"Jose Quintana (9, 31)",8.64,L
30,31.,"Joe Smith (13, 36)",8.53,R
31,32.,"Zack Britton (10, 32)",8.45,L
32,33.,"Masahiro Tanaka (7, 31)",8.38,R
33,34.,"Tyler Clippard (14, 35)",8.20,R
34,35.,"Greg Holland (10, 34)",8.12,R
35,36.,"Jake Arrieta (11, 34)",7.94,R
36,37.,"Aaron Nola (6, 27)",7.85,R
37,38.,"Sean Doolittle (9, 33)",7.83,L
38,39.,"Sonny Gray (8, 30)",7.61,R
39,40.,"Tony Watson (10, 35)",7.57,L
40,41.,"Dellin Betances (9, 32)",7.51,R
41,42.,"Kenta Maeda (5, 32)",7.48,R
42,43.,"Mike Clevinger (5, 29)",7.27,R
43,44.,"Bartolo Colon (21, 47)",7.20,R
44,45.,"Roberto Osuna (6, 25)",7.15,R
45,46.,"Steve Cishek (11, 34)",6.89,R
46,47.,"Hyun Jin Ryu (7, 33)",6.87,L
47,48.,"Rich Hill (16, 40)",6.82,L
48,49.,"Felipe Vazquez (5, 28)",6.64,L
49,50.,"Lance Lynn (9, 33)",6.50,R
50,51.,"Noah Syndergaard (5, 27)",6.16,R
51,52.,"Ken Giles (7, 29)",6.14,R
52,53.,"Will Harris (9, 35)",6.08,R
53,54.,"James Paxton (8, 31)",5.76,L
54,55.,"Trevor Bauer (9, 29)",5.74,R
55,56.,"Wade Davis (12, 34)",5.68,R
56,57.,"Josh Hader (4, 26)",5.62,L
57,58.,"Pedro Strop (12, 35)",5.58,R
58,59.,"Walker Buehler (4, 25)",5.57,R
59,60.,"Blake Snell (5, 27)",5.37,L
60,61.,"Kelvin Herrera (10, 30)",5.32,R
61,62.,"Shane Bieber (3, 25)",5.25,R
62,63.,"Jack Flaherty (4, 24)",5.21,R
63,64.,"Marcus Stroman (6, 29)",5.20,R
64,65.,"Michael Pineda (7, 31)",5.01,R
65,66.,"Carlos Martinez (8, 28)",4.95,R
66,67.,"Luis Severino (5, 26)",4.91,R
67,68.,"Luis Castillo (4, 27)",4.79,R
68,69.,"Alex Colome (8, 31)",4.68,R
69,70.,"Cody Allen (8, 31)",4.56,R
70,71.,"Yusmeiro Petit (13, 35)",4.54,R
71,72.,"Julio Teheran (10, 29)",4.49,R
72,72.,"Brandon Woodruff (4, 27)",4.49,R
73,74.,"Mike Minor (9, 32)",4.43,L
74,75.,"Mychal Givens (6, 30)",4.42,R
75,76.,"Neftali Feliz (9, 32)",4.41,R
76,77.,"Chris Devenski (5, 29)",4.34,R
77,78.,"Raisel Iglesias (6, 30)",4.32,R
78,79.,"Blake Treinen (7, 32)",4.30,R
79,80.,"Patrick Corbin (8, 30)",4.27,L
80,81.,"Taylor Rogers (5, 29)",4.19,L
81,82.,"Jeurys Familia (9, 30)",4.15,R
82,83.,"Justin Wilson (9, 32)",4.01,L
83,84.,"Jake Odorizzi (9, 30)",3.98,R
84,85.,"Brad Keller (3, 24)",3.92,R
85,86.,"Ryan Pressly (8, 31)",3.88,R
86,86.,"AJ Ramos (8, 33)",3.88,R
87,88.,"Jake McGee (11, 33)",3.86,L
88,89.,"Pedro Baez (7, 32)",3.74,R
89,90.,"Eduardo Rodriguez (5, 27)",3.68,L
90,91.,"Jhoulys Chacin (12, 32)",3.67,R
91,92.,"Brad Hand (10, 30)",3.63,L
92,93.,"Zach Davies (6, 27)",3.59,R
93,93.,"Mike Soroka (3, 22)",3.59,R
94,95.,"Chris Archer (8, 31)",3.52,R
95,95.,"Tanner Roark (8, 33)",3.52,R
96,97.,"Nick Vincent (9, 33)",3.51,R
97,98.,"Chad Green (5, 29)",3.50,R
98,99.,"Hector Rondon (8, 32)",3.49,R
99,100.,"Lance McCullers Jr. (5, 26)",3.33,R
