,Rank,"Player (yrs, age)",Championship WPA (cWPA),Throws
0,1.,"Clayton Kershaw (13, 32)",27.19,L
1,2.,"Justin Verlander (16, 37)",23.35,R
2,3.,"Zack Greinke (17, 36)",18.45,R
3,4.,"Max Scherzer (13, 35)",18.11,R
4,5.,"Cole Hamels (15, 36)",17.21,L
5,6.,"Adam Wainwright (15, 38)",14.95,R
6,7.,"Chris Sale (10, 31)",13.88,L
7,8.,"Kenley Jansen (11, 32)",13.26,R
8,9.,"Bartolo Colon (21, 47)",12.93,R
9,10.,"David Price (12, 34)",12.92,L
10,11.,"Zack Britton (10, 32)",12.29,L
11,12.,"Jon Lester (15, 36)",12.20,L
12,13.,"Darren O'Day (13, 37)",11.67,R
13,14.,"Craig Kimbrel (11, 32)",11.50,R
14,15.,"Johnny Cueto (13, 34)",10.98,R
15,16.,"Madison Bumgarner (12, 30)",10.54,L
16,17.,"Wade Davis (12, 34)",10.43,R
17,18.,"David Robertson (12, 35)",9.77,R
18,19.,"Jacob deGrom (7, 32)",9.75,R
19,20.,"Tony Watson (10, 35)",9.38,L
20,21.,"Sergio Romo (13, 37)",9.16,R
21,22.,"Corey Kluber (10, 34)",8.79,R
22,23.,"Aroldis Chapman (11, 32)",8.37,L
23,24.,"Roberto Osuna (6, 25)",8.25,R
24,25.,"Kyle Hendricks (7, 30)",8.20,R
25,26.,"Dallas Keuchel (9, 32)",8.01,L
26,27.,"Felix Hernandez (15, 34)",7.90,R
27,27.,"Mark Melancon (12, 35)",7.90,R
28,29.,"Gerrit Cole (8, 29)",7.79,R
29,30.,"Josh Hader (4, 26)",7.63,L
30,31.,"Patrick Corbin (8, 30)",7.39,L
31,32.,"Gio Gonzalez (13, 34)",7.01,L
32,33.,"Joe Smith (13, 36)",6.99,R
33,34.,"Dellin Betances (9, 32)",6.85,R
34,35.,"Yu Darvish (8, 33)",6.84,R
35,36.,"Stephen Strasburg (11, 31)",6.59,R
36,37.,"Masahiro Tanaka (7, 31)",6.33,R
37,38.,"Greg Holland (10, 34)",6.22,R
38,39.,"Tommy Hunter (13, 33)",6.17,R
39,39.,"Aaron Nola (6, 27)",6.17,R
40,41.,"Lance Lynn (9, 33)",6.15,R
41,42.,"Sean Doolittle (9, 33)",6.12,L
42,43.,"Walker Buehler (4, 25)",5.97,R
43,44.,"Joakim Soria (13, 36)",5.96,R
44,45.,"Mike Clevinger (5, 29)",5.86,R
45,46.,"Carlos Martinez (8, 28)",5.84,R
46,47.,"Hyun Jin Ryu (7, 33)",5.80,L
47,48.,"Andrew Miller (15, 35)",5.65,L
48,49.,"Kelvin Herrera (10, 30)",5.59,R
49,50.,"Jack Flaherty (4, 24)",5.31,R
50,51.,"J.A. Happ (14, 37)",5.28,L
51,52.,"Tyler Clippard (14, 35)",5.23,R
52,53.,"Shane Bieber (3, 25)",5.10,R
53,54.,"Jake McGee (11, 33)",5.08,L
54,55.,"Alex Colome (8, 31)",4.97,R
55,56.,"Trevor Bauer (9, 29)",4.88,R
56,56.,"Trevor Rosenthal (8, 30)",4.88,R
57,58.,"Corey Knebel (6, 28)",4.55,R
58,58.,"Felipe Vazquez (5, 28)",4.55,L
59,60.,"Cody Allen (8, 31)",4.49,R
60,61.,"Jeremy Jeffress (11, 32)",4.38,R
61,62.,"Kyle Freeland (4, 27)",4.32,L
62,63.,"Alex Wood (8, 29)",4.24,L
63,64.,"Edwin Diaz (5, 26)",4.00,R
64,65.,"Luis Severino (5, 26)",3.95,R
65,66.,"Jake Arrieta (11, 34)",3.82,R
66,67.,"Carlos Carrasco (11, 33)",3.73,R
67,68.,"Blake Treinen (7, 32)",3.60,R
68,69.,"Pedro Baez (7, 32)",3.55,R
69,70.,"Mychal Givens (6, 30)",3.44,R
70,71.,"Sonny Gray (8, 30)",3.30,R
71,72.,"Hector Rondon (8, 32)",3.29,R
72,73.,"Jerry Blevins (13, 36)",3.23,L
73,74.,"Jeurys Familia (9, 30)",3.13,R
74,75.,"Rich Hill (16, 40)",3.11,L
75,76.,"Kenta Maeda (5, 32)",3.10,R
76,77.,"Brad Brach (10, 34)",3.09,R
77,78.,"Al Alburquerque (7, 34)",3.05,R
78,79.,"Alex Cobb (9, 32)",3.02,R
79,80.,"Dakota Hudson (3, 25)",2.96,R
80,81.,"Blake Parker (8, 35)",2.93,R
81,82.,"Shane Greene (7, 31)",2.88,R
82,83.,"Drew Pomeranz (10, 31)",2.86,L
83,83.,"Brandon Woodruff (4, 27)",2.86,R
84,85.,"Chase Anderson (7, 32)",2.82,R
85,86.,"Neftali Feliz (9, 32)",2.79,R
86,87.,"Will Harris (9, 35)",2.75,R
87,88.,"Danny Duffy (10, 31)",2.74,L
88,89.,"Nick Wittgren (5, 29)",2.72,R
89,90.,"Noah Syndergaard (5, 27)",2.68,R
90,91.,"Alex Reyes (4, 25)",2.63,R
91,92.,"Julio Teheran (10, 29)",2.62,R
92,93.,"Anibal Sanchez (15, 36)",2.60,R
93,94.,"Mike Fiers (10, 35)",2.53,R
94,94.,"Rowan Wick (3, 27)",2.53,R
95,96.,"German Marquez (5, 25)",2.49,R
96,97.,"Jair Jurrjens (8, 34)",2.47,R
97,98.,"Will Smith (8, 30)",2.43,L
98,99.,"Lance McCullers Jr. (5, 26)",2.40,R
99,100.,"Jake Odorizzi (9, 30)",2.39,R
