,Rank,"Player (yrs, age)",Errors Committed,Throws
0,1.,"Starlin Castro (11, 30)",195,R
1,2.,"Elvis Andrus (12, 31)",194,R
2,3.,"Ian Desmond (11, 34)",176,R
3,4.,"Ryan Zimmerman (15, 35)",165,R
4,5.,"Erick Aybar (12, 36)",153,R
5,6.,"Miguel Cabrera (18, 37)",152,R
6,7.,"Evan Longoria (13, 34)",147,R
7,8.,"Edwin Encarnacion (16, 37)",144,R
8,8.,"Albert Pujols (20, 40)",144,R
9,10.,"Asdrubal Cabrera (14, 34)",136,R
10,11.,"Brandon Crawford (10, 33)",135,R
11,12.,"Jean Segura (9, 30)",127,R
12,12.,"Jonathan Villar (8, 29)",127,R
13,14.,"Robinson Cano (16, 37)",125,R
14,15.,"Daniel Murphy (12, 35)",124,R
15,16.,"Kyle Seager (10, 32)",123,R
16,17.,"Marcus Semien (8, 29)",121,R
17,18.,"Josh Donaldson (10, 34)",118,R
18,19.,"Pablo Sandoval (13, 33)",114,R
19,20.,"Mike Moustakas (10, 31)",112,R
20,21.,"Todd Frazier (10, 34)",105,R
21,22.,"Matt Carpenter (10, 34)",104,R
22,22.,"Manny Machado (9, 27)",104,R
23,24.,"Eugenio Suarez (7, 28)",102,R
24,25.,"Dee Strange-Gordon (10, 32)",99,R
25,26.,"Joey Votto (14, 36)",98,R
26,27.,"Jorge Cantu (8, 38)",96,R
27,28.,"Rougned Odor (7, 26)",95,R
28,29.,"Tim Anderson (5, 27)",94,R
29,30.,"Nolan Arenado (8, 29)",91,R
30,31.,"Brad Miller (8, 30)",90,R
31,32.,"Xander Bogaerts (8, 27)",88,R
32,32.,"Eduardo Nunez (11, 33)",88,R
33,32.,"Andrelton Simmons (9, 30)",88,R
34,35.,"Justin Upton (14, 32)",87,R
35,36.,"Javier Baez (7, 27)",82,R
36,37.,"Kris Bryant (6, 28)",81,R
37,38.,"Jed Lowrie (12, 36)",80,R
38,38.,"Yadier Molina (17, 37)",80,R
39,40.,"Justin Turner (12, 35)",79,R
