,Rank,"Player (yrs, age)",Errors Committed as CF (s.1901),Throws
0,1.,"Dexter Fowler (13, 34)",37,R
1,1.,"Andrew McCutchen (12, 33)",37,R
2,3.,"Lorenzo Cain (11, 34)",36,R
3,4.,"Matt Kemp (15, 35)",26,R
4,5.,"Jarrod Dyson (11, 35)",25,R
5,6.,"Cameron Maybin (14, 33)",23,R
6,7.,"Delino DeShields (6, 27)",20,R
7,7.,"Kevin Pillar (8, 31)",20,R
8,9.,"Juan Lagares (8, 31)",19,R
9,10.,"Odubel Herrera (5, 28)",18,R
10,10.,"Kevin Kiermaier (8, 30)",18,R
11,12.,"Jackie Bradley Jr. (8, 30)",17,R
12,13.,"Charlie Blackmon (10, 33)",16,L
13,13.,"Ender Inciarte (7, 29)",16,L
14,13.,"Mike Trout (10, 28)",16,R
15,16.,"Keon Broxton (5, 30)",14,R
16,16.,"Adam Eaton (9, 31)",14,L
17,18.,"Lewis Brinson (4, 26)",13,R
18,18.,"Ian Desmond (11, 34)",13,R
19,18.,"Starling Marte (9, 31)",13,R
20,18.,"Mallex Smith (5, 27)",13,R
21,22.,"Adam Engel (4, 28)",12,R
22,23.,"Byron Buxton (6, 26)",11,R
23,23.,"Marcell Ozuna (8, 29)",11,R
24,25.,"Harrison Bader (4, 26)",10,R
25,25.,"Billy Hamilton (8, 29)",10,R
26,25.,"Michael A. Taylor (7, 29)",10,R
27,28.,"Brett Gardner (13, 36)",9,L
28,28.,"Anthony Gose (5, 29)",9,L
29,28.,"Aaron Hicks (8, 30)",9,R
30,28.,"Manuel Margot (5, 25)",9,R
31,28.,"AJ Pollock (9, 32)",9,R
32,33.,"Abraham Almonte (8, 31)",8,R
33,33.,"Leury Garcia (8, 29)",8,R
34,33.,"Ramon Laureano (3, 25)",8,R
35,33.,"Jake Marisnick (8, 29)",8,R
36,33.,"Danny Santana (7, 29)",8,R
37,38.,"Albert Almora (5, 26)",7,R
38,38.,"Bryce Harper (9, 27)",7,R
39,38.,"Joc Pederson (7, 28)",7,L
