,Rank,"Player (yrs, age)",Errors Committed as RF (s.1901),Throws
0,1.,"Justin Upton (14, 32)",50,R
1,2.,"Jay Bruce (13, 33)",48,L
2,3.,"Giancarlo Stanton (11, 30)",44,R
3,4.,"Josh Reddick (12, 33)",40,R
4,5.,"Shin-Soo Choo (16, 37)",36,L
5,6.,"Nelson Cruz (16, 39)",32,R
6,7.,"Kole Calhoun (9, 32)",31,L
7,8.,"Jason Heyward (11, 30)",29,L
8,9.,"Nick Markakis (15, 36)",26,L
9,10.,"Avisail Garcia (9, 29)",24,R
10,11.,"Bryce Harper (9, 27)",22,R
11,12.,"Matthew Joyce (13, 35)",21,R
12,12.,"Gregory Polanco (7, 28)",21,L
13,14.,"Matt Kemp (15, 35)",20,R
14,14.,"Hunter Renfroe (5, 28)",20,R
15,16.,"Carlos Gonzalez (12, 34)",16,L
16,17.,"Mitch Haniger (4, 29)",15,R
17,17.,"J.D. Martinez (10, 32)",15,R
18,19.,"Mookie Betts (7, 27)",14,R
19,19.,"George Springer (7, 30)",14,R
20,21.,"Domingo Santana (7, 27)",13,R
21,21.,"Steven Souza Jr. (6, 31)",13,R
22,23.,"Adam Eaton (9, 31)",12,L
23,23.,"Scott Schebler (6, 29)",12,R
24,25.,"Max Kepler (6, 27)",11,L
25,26.,"Jorge Soler (7, 28)",10,R
26,27.,"Nicholas Castellanos (8, 28)",9,R
27,27.,"Aaron Judge (5, 28)",9,R
28,27.,"Stephen Piscotty (6, 29)",9,R
29,30.,"Dexter Fowler (13, 34)",8,R
30,30.,"Teoscar Hernandez (5, 27)",8,R
31,30.,"Nomar Mazara (5, 25)",8,L
32,30.,"Wil Myers (8, 29)",8,R
33,34.,"Jorge Bonifacio (4, 27)",7,R
34,34.,"Miguel Cabrera (18, 37)",7,R
35,34.,"Franmil Reyes (3, 24)",7,R
36,37.,"Randal Grichuk (7, 28)",6,R
37,37.,"Robbie Grossman (8, 30)",6,L
38,37.,"Anthony Santander (4, 25)",6,R
39,37.,"Yasmany Tomás (4, 29)",6,R
